STATE,SITE_ID,COMMENTS,CONTROL,ORIGIN,TRAP_NUMBER,DATE_TRAP_SAMPLED,NUMBER_S.AGRILI_INDIVIDUALS,NUMBER_T.PLANIPENNISI_INDIVIDUALS,NUMBER_O.AGRILI,NUMBER_OF_S.AGRILI_CLUTCHES,NUMBER_OF_T.PLANIPENNISI_CLUTCHES,NUMBER_OF_ATANYCHOLUS,SAMPLE METHOD,NUMBER OF SAMPLES,POSSIBLE_EAB_PARASITOID_RECOVERED,DATE_SAMPLE_SHIPPED,SAMPLE_SHIPPED_TO,POINT_X,POINT_Y,COMMENTS_LAB,USER_ID,SITE_NAME,NUMBER_S.GALINAE_CLUTCHES
Michigan,,,0,,Alma04,"9/26/2013, 8:00 PM",0,11,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.76,43.36,Jon Lelito confirmed ID,juligould,,0
Michigan,,,0,,FarmHi1,"9/26/2013, 8:00 PM",0,32,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-83.38,42.49,Jon Lelito confirmed ID,juligould,,0
Michigan,,,0,,Alma03,"10/1/2013, 8:00 PM",0,17,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.76,43.36,Jon Lelito cofirmed ID of T. planipennisi,juligould,,0
Michigan,,,0,,SagBay2,"11/30/2013, 7:00 PM",0,4,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84,43.84,adult IDs confirmed by J. Lelito,juligould,,0
Michigan,,,0,,SagBay1,"12/3/2013, 7:00 PM",0,19,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.02,43.76,adult IDs confirmed by J. Lelito,juligould,,0
Michigan,,,0,,Alma02,"12/9/2013, 7:00 PM",0,19,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.66,43.38,adult IDs confirmed by J. Lelito,juligould,,0
Michigan,,,0,,Alma01,"12/19/2013, 7:00 PM",0,11,0,0,0,0,Logs in Tubes,0,Yes,,Jon Lelito,-84.74,43.35,adult IDs confirmed by J. Lelito,juligould,,0
Michigan,,,0,,JAAuSab2,"6/30/2014, 8:00 PM",0,0,0,0,1,0,Tree Debarking,22,Yes,,Deb McCullough,-84.56,43.54,Identified by Deb McCullough,juligould,,0
Kentucky,,,0,,And 2.2,"2/12/2015, 7:00 PM",0,0,0,0,1,0,Tree Debarking,4,Yes,,,-84.96,38.01,,Lrieske,,0
Kentucky,,,0,,And 3.3,"2/12/2015, 7:00 PM",0,0,0,0,1,0,Tree Debarking,4,Yes,,,-84.96,38.01,,Lrieske,,0
Kentucky,,,0,,Hen 1.1,"3/1/2015, 7:00 PM",0,0,0,0,4,0,Tree Debarking,4,Yes,,,-84.84,38.57,,Lrieske,,0
Kentucky,,,0,,Hen 2.3,"3/1/2015, 7:00 PM",0,0,0,0,4,0,Tree Debarking,4,Yes,,,-85.15,38.56,,Lrieske,,0
Kentucky,,,0,,Hen 3.3,"3/1/2015, 7:00 PM",0,0,0,0,1,0,Tree Debarking,4,Yes,,,-85.15,38.56,,Lrieske,,0
Kentucky,,,0,,She 1.4,"3/1/2015, 7:00 PM",0,0,0,0,2,0,Tree Debarking,4,Yes,,,-85.36,38.28,,Lrieske,,0
Kentucky,,,0,,She 2.3,"3/1/2015, 7:00 PM",0,0,0,0,4,0,Tree Debarking,4,Yes,,,-85.36,38.28,,Lrieske,,0
Kentucky,,,0,,She 3.4,"3/1/2015, 7:00 PM",0,0,0,0,4,0,Tree Debarking,4,Yes,,,-85.37,38.28,,Lrieske,,0
Michigan,"1,895",,0,Program,North GMO,"8/22/2012, 8:00 PM",0,5,3,0,0,3,Yellow Pan Traps,15,Yes,,Juli Gould,-88.46,47.22,"T. planipennisi confirmed, O. agrili confirmed, Atanycolus confirmed (Juli Gould)",juligould,North GMO,0
,"2,772",,0,Program,Wakefield,"10/21/2015, 8:00 PM",0,937,0,0,0,0,Logs in Tubes,86,Yes,"4/28/2016, 8:00 PM",J. Gould,-75.95,45.64,,gcjones,Wakefield,0
,"2,733",,0,Program,Ottawa,"10/21/2015, 8:00 PM",0,42,0,0,0,0,Logs in Tubes,136,Yes,"4/28/2016, 8:00 PM",J. Gould,-75.61,45.34,,gcjones,Ottawa,0
,"2,734",,0,Program,Middleton,"10/19/2015, 8:00 PM",0,26,0,0,0,0,Logs in Tubes,161,Yes,,,-80.62,42.81,,gcjones,Middleton McConkey Tract,0
Michigan,"1,900",,0,Program,Pit,"10/31/2012, 8:00 PM",0,0,5,0,0,0,Egg Collection,5,Yes,,A.Storer shipped to L.Bauer,-88.49,47.18,Oobius ID confirmed by L.Bauer,juligould,Pit,0
Michigan,55,,0,Research,RL,"5/29/2013, 8:00 PM",0,0,2,0,0,0,Bark Sifting,10,Yes,,Kris Abell,-84.35,42.82,O. agrili confirmed (Juli Gould),juligould,RL,0
Michigan,"1,947",,0,Program,Sharp,"10/31/2012, 8:00 PM",0,0,1,0,0,0,Egg Collection,29,Yes,,A.Storer shipped to L.Bauer,-86.56,45.81,Oobius ID confirmed by L.Bauer,juligould,Sharp,0
Michigan,"2,104",,0,Research,SL,"2/4/2008, 7:00 PM",87,,0,16,,0,Tree Debarking,4,Yes,,Juli Gould,-83.66,42.82,,juligould,SL,0
Michigan,22,,0,Research,SR,"2/22/2010, 7:00 PM",26,0,,4,0,0,Tree Debarking,4,Yes,,Juli Gould,-84.11,43.34,,juligould,sr,0
Michigan,22,,0,Research,SR,"2/22/2010, 7:00 PM",0,0,2,0,0,0,Bark in Tubes,16,Yes,,Leah Bauer,-84.11,43.34,Oobius ID confirmed by L. Bauer,juligould,sr,0
Michigan,22,,0,Research,SR,"8/16/2011, 8:00 PM",1,0,0,0,0,8,Yellow Pan Traps,15,Yes,,Juli Gould,-84.11,43.34,S. agrili and Atanycolus confirmed (Juli Gould),juligould,sr,0
Michigan,21,,0,Research,SR_C,"8/26/2012, 8:00 PM",1,0,0,0,0,6,Yellow Pan Traps,11,Yes,,Juli Gould,-84.07,43.36,Atanycolus and S. agrili confirmed (Juli Gould),juligould,sr_C,0
Michigan,59,,0,Research,Tecumseh,"8/22/2012, 8:00 PM",0,2,8,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-88.46,47.22,T. planipennisi and O. agrili confirmed (Juli Gould),juligould,Tecumseh Site,0
Michigan,59,,0,Research,Tecumseh,"9/16/2012, 8:00 PM",0,3,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-88.46,47.22,T. planipennisi confirmed (Juli Gould),juligould,Tecumseh Site,0
Michigan,14,,0,Research,tung,"9/10/2012, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,12,Yes,,Juli Gould,-83.36,43.45,T. planipennisi confirmed (Juli Gould),juligould,tung,0
Michigan,17,,0,Research,tusg,"9/30/2012, 8:00 PM",0,0,0,0,1,33,Tree Debarking,4,Yes,,Juli Gould,-83.36,43.43,,juligould,tusg,0
Michigan,18,,0,Research,tusn,"9/30/2012, 8:00 PM",0,0,0,0,4,4,Tree Debarking,4,Yes,,Juli Gould,-83.37,43.44,,juligould,tusn,0
New York,"1,745",,0,Research,Btl Creek,"9/17/2012, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,13,Yes,,Juli Gould,-78.99,42.15,S. agrili confirmed (Juli Gould),juligould,Battle Creek,0
New York,"1,745",,0,Research,Btl Creek,"4/7/2013, 8:00 PM",0,0,0,0,1,0,Tree Debarking,4,Yes,,Juli Gould,-78.99,42.15,T. planipennisi and S. agrili confirmed (Juli Gould),juligould,Battle Creek,1
New York,"1,739",,0,Research,BristBch,"9/3/2012, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-73.93,42.11,S. agrili confirmed (Juli Gould),juligould,Bristol Beach,0
New York,"1,739",,0,Research,BristBch,"3/11/2013, 8:00 PM",0,0,0,1,0,0,Tree Debarking,4,Yes,,Juli Gould,-73.93,42.11,Spathius confirmed (Juli Gould),juligould,Bristol Beach,0
New York,"2,398",,0,Research,Currey Av,"7/4/2013, 8:00 PM",0,0,3,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,"2,398",,0,Research,Currey Av,"7/11/2013, 8:00 PM",0,0,6,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,,,0,,Currey Av,"7/18/2013, 8:00 PM",0,0,10,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,Site ID: Currey Ave,juligould,,0
New York,"2,398",,0,Research,Currey Av,"8/1/2013, 8:00 PM",0,0,3,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,"2,398",,0,Research,Currey Av,"8/8/2013, 8:00 PM",0,0,3,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,,,0,,Currey Av,"8/22/2013, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,Site ID: Currey Ave,juligould,,0
New York,"2,398",,0,Research,Currey Av,"8/29/2013, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,"2,398",,0,Research,Currey Av,"9/4/2013, 8:00 PM",0,0,0,2,0,0,Sentinel Larvae,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,,,0,,Currey Av,"9/5/2013, 8:00 PM",1,8,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,Site ID: Currey Ave,juligould,,0
New York,"2,398",,0,Research,Currey Av,"9/12/2013, 8:00 PM",2,17,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,"2,398",,0,Research,Currey Av,"9/12/2013, 8:00 PM",0,0,0,3,0,0,Sentinel Larvae,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,"2,398",,0,Research,Currey Av,"9/19/2013, 8:00 PM",2,16,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,"2,398",,0,Research,Currey Av,"10/3/2013, 8:00 PM",0,9,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,,,0,,Currey Av,"10/10/2013, 8:00 PM",0,9,0,0,0,0,Yellow Pan Traps,10,No,,Mike Parisio,-73.85,42.55,,juligould,,0
New York,"2,398",,0,Research,Currey Av,"11/30/2013, 7:00 PM",0,0,0,4,53,0,Tree Debarking,10,Yes,,Mike Parisio,-73.85,42.55,,juligould,Currey Ave,0
New York,"1,737",,0,Research,East Pky,"8/7/2012, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-73.99,42,S. agrili confirmed (Juli Gould),juligould,Eastern Parkway,0
New York,"1,737",,0,Research,East Pky,"8/13/2012, 8:00 PM",1,0,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-73.99,42,S. agrili confirmed (Juli Gould),juligould,Eastern Parkway,0
New York,"1,737",,0,Research,East Pky,"8/27/2012, 8:00 PM",2,0,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-73.99,42,S. agrili confirmed (Juli Gould),juligould,Eastern Parkway,0
New York,,,0,,East Pky,"9/3/2012, 8:00 PM",1,1,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-73.99,42,T. planipennisi and S. agrili confirmed (juli gould),juligould,,0
New York,,,0,,East Pky,"3/12/2013, 8:00 PM",10,0,0,1,0,0,Tree Debarking,4,Yes,,Juli Gould,-73.99,42,S. agrili confirmed (Juli Gould),juligould,,0
New York,,,0,,East Pky,"3/13/2013, 8:00 PM",2,0,0,0,0,0,Logs in Tubes,1,Yes,,Juli Gould,-73.99,42,Site ID: Eastern Parkway,juligould,,0
New York,"1,744",,0,Research,Watts Rd.,"9/3/2012, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,15,Yes,,Juli Gould,-79.01,42.16,T. planipennisi confirmed (Juli Gould),juligould,Watts Road,0
New York,"2,099",,0,Program,W.YardRd.,"7/18/2013, 8:00 PM",0,0,7,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"7/25/2013, 8:00 PM",0,0,2,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"8/22/2013, 8:00 PM",0,0,1,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"8/29/2013, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"9/5/2013, 8:00 PM",7,1,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"9/5/2013, 8:00 PM",0,0,0,1,0,0,Sentinel Larvae,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"9/12/2013, 8:00 PM",2,5,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"9/12/2013, 8:00 PM",3,0,0,0,0,0,Sentinel Larvae,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"9/19/2013, 8:00 PM",0,6,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"9/19/2013, 8:00 PM",0,0,0,1,0,0,Sentinel Larvae,7,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"9/28/2013, 8:00 PM",0,4,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,"2,099",,0,Program,W.YardRd.,"10/10/2013, 8:00 PM",0,3,0,0,0,0,Yellow Pan Traps,10,Yes,,Mike Parisio,-73.86,42.57,,juligould,"West Yard Road, Selkirk, NY",0
New York,,,0,,W.YardRd.,"11/30/2013, 7:00 PM",0,"1,488",11,6,66,0,Tree Debarking,10,Yes,,Mike Parisio,-73.86,42.57,Site ID: West Yard Road,juligould,,0
Ohio,34,,0,Research,abr,"2/22/2010, 7:00 PM",0,4,0,0,0,0,Logs in Tubes,1,Yes,,Juli Gould,-84.3,41.49,,juligould,abr,0
Tennessee,"2,047",,0,Program,Cactus C,"12/13/2012, 7:00 PM",0,0,0,1,0,0,Tree Debarking,3,Yes,,Greg Wiggins,-84.09,35.84,,juligould,Haven Hill/Cactus Cove,0
Wisconsin,"1,480",,0,Program,R.E.N.C,"12/31/2012, 7:00 PM",0,35,0,0,0,0,Logs in Tubes,4,Yes,,Todd Johnson,-88.04,43.44,,juligould,River Edge Nature Center,0
New York,"1,745",165 EAB larvae,0,Research,Btl Creek,"5/12/2014, 8:00 PM",0,3,0,0,0,0,Tree Debarking,4,Yes,,Juli Gould,-78.99,42.15,T. planipennisi confirmed (Juli Gould),juligould,Battle Creek,0
New York,"1,736",111 EAB Larvae,0,Research,Cementon,"5/9/2014, 8:00 PM",0,1,0,0,0,0,Tree Debarking,4,Yes,,Juli Gould,-73.92,42.15,T. planipennisi confirmed (Juli GOuld),juligould,Cementon North,0
New York,,1 EAB Larva,0,,Conewango,"5/14/2014, 8:00 PM",0,1,0,0,0,0,Tree Debarking,4,Yes,,Juli Gould,-78.97,42.17,T. planipennisi confirmed (Juli Gould),juligould,,0
New York,"1,740",5 EAB Larvae,0,Research,Leggs Mil,"3/14/2016, 8:00 PM",0,0,0,0,2,0,Tree Debarking,4,No,,Juli Gould,-74,41.99,T. planipennisi (Juli Gould),juligould,Leggs Mills Road,0
New York,"2,118",5 EAB Larvae,0,,Schoolhou,"5/13/2014, 8:00 PM",0,0,0,0,1,0,Tree Debarking,4,No,,Juli Gould,-79.02,42.15,T. planipennisi (Juli Gould),juligould,,0
New York,"1,739",158 EAB Larvae,0,Research,BristBch,"3/9/2015, 8:00 PM",0,2,0,0,0,0,Tree Debarking,4,Yes,,Juli Gould,-73.93,42.11,T. planipennisi confirmed (Juli Gould),juligould,Bristol Beach,0
New York,"1,736",100 EAB Larvae,0,Research,Cementon,"3/9/2015, 8:00 PM",0,2,0,0,0,0,Tree Debarking,4,Yes,,Juli Gould,-73.92,42.15,T. planipennisi confirmed (Juli Gould),juligould,Cementon North,0
New York,"1,737",265 EAB Larvae,0,,East Pky,"3/8/2015, 8:00 PM",0,0,0,0,3,0,Tree Debarking,4,Yes,,Juli Gould,-73.99,42,T. planipennisi confirmed (Juli Gould),juligould,,0
New York,,145 EAB Larvae,0,,Ulster L.,"3/8/2015, 8:00 PM",0,11,0,0,1,0,Tree Debarking,4,Yes,,Juli Gould,-73.96,41.97,T. planipennisi confirmed (Juli Gould),juligould,,0
New York,,Dead Tet Larvae,0,,AirportNY,"5/10/2015, 8:00 PM",0,0,0,0,1,0,Tree Debarking,4,Yes,,Juli Gould,-79.03,42.16,T. planipennisi confirmed (Juli Gould),juligould,,0
New York,"2,117",,0,,AirportNY,"5/12/2016, 8:00 PM",0,0,0,0,4,0,Tree Debarking,4,Yes,,Juli Gould,-79.03,42.16,T. planipennisi confirmed (Juli Gould),juligould,,0
New York,"1,745",Tet Meconium in overwinter chamber,0,Research,Btl Creek,"5/11/2015, 8:00 PM",0,0,0,0,2,0,Tree Debarking,4,Yes,,Juli Gould,-78.99,42.15,Tet confirmed (Juli Gould),juligould,Battle Creek,0
New York,"1,751",meconia,0,Research,Conewango,"5/11/2015, 8:00 PM",0,0,0,0,1,0,Tree Debarking,4,Yes,,Juli Gould,-78.97,42.17,T. planipennisi confirmed (Juli Gould),juligould,Conewango Road,0
New York,"1,743","meconia, exit holes & EAB head capsule possibly from last year",0,,Ormond,"5/11/2015, 8:00 PM",0,0,0,0,3,0,Tree Debarking,4,Yes,,Juli Gould,-79.01,42.16,T. planipennisi (Juli Gould),juligould,,0
New York,,Collected in Vial,0,,Ormond,"5/11/2014, 8:00 PM",0,1,0,0,0,0,Tree Debarking,4,Yes,,Juli Gould,-79.01,42.16,,juligould,,0
New York,"2,118",,0,,Schoolhou,"5/11/2015, 8:00 PM",0,0,0,0,2,0,Tree Debarking,4,Yes,,Juli Gould,-79.02,42.15,Tetrastichus (Juli Gould),juligould,,0
New York,"2,118",,0,,Schoolhou,"5/12/2016, 8:00 PM",0,0,0,0,2,4,Tree Debarking,4,Yes,,Juli Gould,-79.02,42.15,"Tetrastichus, Atanycolus individuals present (Juli Gould)",juligould,,0
Wisconsin,"2,194",Twenty dead adults tentatively identified as Tetrastichus using photos. Representative specimens sent to Juli Gould.,0,Program,Tree1-BFB,"5/5/2016, 8:00 PM",0,0,0,0,1,0,Tree Debarking,1,Yes,"5/31/2016, 8:00 PM",Juli Gould,-88.44,42.57,Five Female and 1 male T. planipennisi ID'd by Juli Gould.,billmcnee,Big Foot Beach State Park,0
Wisconsin,"2,194",Five dead (presumed) Tetrastichus adults found in an EAB gallery.,0,Program,Tree5-BFB,"5/5/2016, 8:00 PM",0,,0,0,1,0,Tree Debarking,1,Yes,"5/31/2016, 8:00 PM",Juli Gould,-88.43,42.57,8 Female T. planipennisi. Mostly just abdomens and two thoraxes. Confirmed as T. planipennisi.,billmcnee,Big Foot Beach State Park,0
Wisconsin,"2,193",Cluster of nine white pupae collected from an EAB gallery and reared to adults.,0,Program,Tree5-Ken,"5/10/2016, 8:00 PM",0,0,0,0,1,0,Tree Debarking,1,Yes,"5/31/2016, 8:00 PM",Juli Gould,-87.88,42.58,3 female and 3 male T. planipennisi ID'd by Juli Gould,billmcnee,Nash Park Kenosha,0
Wisconsin,"2,203",One cluster of 15 white pupae found in an EAB larval gallery. Reared to adults. Representative samples sent to Juli Gould.,0,Program,Caledonia,"5/18/2016, 8:00 PM",0,0,0,0,1,0,Tree Debarking,1,Yes,"5/31/2016, 8:00 PM",Juli Gould,-87.91,42.84,3 Female T. planipennisi confirmed by Juli Gould.,billmcnee,Root River Parkway,0
Wisconsin,"2,556",,0,Program,ScoutLake,"5/4/2017, 8:00 PM",0,26,0,0,4,3,Tree Debarking,4,Yes,,,-87.98,42.94,"Tetrastichus specimens (pupae and reared adults) identified by Bill McNee, Forest Health Specialist, WI DNR",billmcnee,Scout Lake Park,0
New Hampshire,"2,534",null,0,Program,NH DP 13,"6/1/2016, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,1,Yes,"6/16/2016, 8:00 PM",Juli Gould,-71.52,43.2,1 female T. planipennisi confirmed by Juli Gould.,MollyHeuss,Dog Park,0
New Hampshire,"2,532",null,0,Program,SPNHF 13,"6/1/2016, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,1,Yes,"6/16/2016, 8:00 PM",Juli Gould,-71.53,43.23,1 female T. planipennisi confirmed by Juli Gould.,MollyHeuss,SPNHF,0
New York,"2,390",,0,Research,Greenway,"5/25/2016, 8:00 PM",0,50,0,0,0,0,Yellow Pan Traps,60,Yes,"5/25/2016, 8:00 PM",Juli Gould,-77.75,43.01,,juligould,Chili Dispersal 2,0
New York,"2,390",null,0,Research,Greenway,"6/1/2016, 8:00 PM",0,46,0,0,0,0,Yellow Pan Traps,60,Yes,,Juli Gould,-77.75,43.01,T. planipennisi and S. galinae found in sample (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,390",,0,Research,Greenway,"6/8/2016, 8:00 PM",11,58,0,0,0,0,Yellow Pan Traps,60,Yes,,Juli Gould,-77.75,43.01,T. planipennisi and S. agrili in sample (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,390",,0,Research,Greenway,"6/15/2016, 8:00 PM",0,10,0,0,0,0,Yellow Pan Traps,100,Yes,,Juli Gould,-77.75,43.01,T. planipennisi found (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,390",,0,Research,Greenway,"6/22/2016, 8:00 PM",0,21,0,0,0,0,Yellow Pan Traps,100,Yes,,Juli Gould,-77.75,43.01,T. planipennisi found in sample (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,390",,0,Research,Greenway,"6/29/2016, 8:00 PM",0,4,0,0,0,0,Yellow Pan Traps,100,Yes,,Juli Gould,-77.75,43.01,T. planipennisi found (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,390",,0,Research,Greenway,"7/6/2016, 8:00 PM",0,4,0,0,0,0,Yellow Pan Traps,100,Yes,,Juli Gould,-77.75,43.01,T. planipennisi found (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,850",,0,Research,Syr IPM,"6/9/2016, 8:00 PM",0,3,0,0,0,0,Yellow Pan Traps,45,Yes,,Juli Gould,-76.1,43.08,,juligould,Syracuse IPM 2,0
New York,"2,850",,0,Research,Syr IPM,"6/14/2016, 8:00 PM",0,8,0,0,0,0,Yellow Pan Traps,45,Yes,,Juli Gould,-76.1,43.08,,juligould,Syracuse IPM 2,0
New York,"2,850",,0,Research,Syr IPM,"6/23/2016, 8:00 PM",0,3,0,0,0,0,Yellow Pan Traps,45,Yes,,Juli Gould,-76.1,43.08,T. planipennisi found in sample (Juli Gould),juligould,Syracuse IPM 2,0
New York,"2,850",,0,Research,Syr IPM,"6/30/2016, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,45,Yes,,Juli Gould,-76.1,43.08,T. planipennisi found in sample (Juli Gould),juligould,Syracuse IPM 2,0
New York,"2,850",,0,Research,Syr IPM,"7/7/2016, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,45,Yes,,Juli Gould,-76.1,43.08,T. planipennisi found (Juli Gould),juligould,Syracuse IPM 2,0
New York,"2,390",,0,Research,Greenway,"7/12/2016, 8:00 PM",0,7,0,0,0,0,Yellow Pan Traps,100,Yes,,Juli Gould,-77.75,43.01,T. planipennisi found (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,390",,0,Research,Greenway,"7/19/2016, 8:00 PM",0,6,0,0,0,0,Yellow Pan Traps,100,Yes,,Juli Gould,-77.75,43.01,T. planipennisi found (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,390",,0,Research,Greenway,"7/26/2016, 8:00 PM",0,2,2,0,0,0,Yellow Pan Traps,100,Yes,,Juli Gould,-77.75,43.01,T. planipennisi and O. agrili found (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,390",,0,Research,Greenway,"8/2/2016, 8:00 PM",0,4,0,0,0,0,Yellow Pan Traps,100,Yes,,Juli Gould,-77.75,43.01,T. planipennisi confirmed (Juli Gould),juligould,Chili Dispersal 2,0
New York,"2,850",,0,Research,Syr IPM,"7/14/2016, 8:00 PM",0,2,0,0,0,0,Yellow Pan Traps,45,Yes,,Juli Gould,-76.1,43.08,T. planipennisi and S. galinae found (Juli Gould),juligould,Syracuse IPM 2,0
New York,"2,850",,0,Research,Syr IPM,"7/28/2016, 8:00 PM",0,1,0,0,0,0,Yellow Pan Traps,45,Yes,,Juli Gould,-76.1,43.08,T. planipennisi found (Juli Gould),juligould,Syracuse IPM 2,0
Michigan,,,0,,Munn 1,"6/29/2016, 8:00 PM",0,0,2,0,0,0,Sentinel Eggs,18,Yes,,,-84.52,42.69,"E.E.Morris: 18 egg sentinal pouches (10 eggs ea.)placed on individual trees. One pouch had 2 parasitized eggs, confirmed to be O. agrili (molecular ID).",eemorris,,0
Michigan,,Leah Bauer,0,,MNF-GC1,"3/6/2016, 7:00 PM",0,0,0,0,1,0,Tree Debarking,4,Yes,,,-85.88,43.86,"Adult-Tet release site. Data collected by Ben Sorensen APHIS-CPHST Brighton, Tet-brood size data missing, DBH 9.9-cm @ 10-m",lsbauer,,0
Michigan,,Leah Bauer,0,,MNF-JR1,"3/7/2016, 7:00 PM",0,42,0,0,1,0,Tree Debarking,4,Yes,,,-85.84,43.85,Adult-Tet release site. Data collected by Ben Sorensen APHIS-CPHST Brighton. DBH 7.0-cm @ 1-m,lsbauer,,0
Michigan,,Leah Bauer,0,,MNF-OG1,"3/13/2016, 8:00 PM",0,15,0,0,1,0,Tree Debarking,4,Yes,,,-85.86,44.06,Adult-Tet release site. Data collected by Ben Sorensen APHIS-CPHST Brighton. DBH 6.8-cm @ 5-m,lsbauer,,0
Michigan,,"Leah Bauer, EAB egg with oob emerged",0,,LKEMP1,"1/14/2015, 7:00 PM",0,0,1,0,0,0,Bark Sifting,10,Yes,,,-83.2,42.07,"Data collected by Ben Sorensen, APHIS CPHST Brighton.",lsbauer,,0
Michigan,"2,656",sentinel egg pouch with 10 eggs. 2 parasitized eggs,0,,E29,"8/4/2016, 8:00 PM",0,0,2,0,0,0,Sentinel Eggs,10,Yes,,,-85.33,45.11,T. Petrice confirmed ID,tpetrice,,0
Michigan,"2,656",sentinel egg pouch with 10 eggs. 2 parasitized eggs,0,,E40,"8/4/2016, 8:00 PM",0,0,2,0,0,0,Sentinel Eggs,10,Yes,,,-85.33,45.11,T. Petrice confirmed ID,tpetrice,,0
